Luke Skywalker,172,77,blond,fair,blue,19BBY,male,https://swapi.dev/api/planets/1/
C-3PO,167,75,n/a,gold,yellow,112BBY,n/a,https://swapi.dev/api/planets/1/
R2-D2,96,32,n/a,white, blue,red,33BBY,n/a,https://swapi.dev/api/planets/8/
Darth Vader,202,136,none,white,yellow,41.9BBY,male,https://swapi.dev/api/planets/1/
Leia Organa,150,49,brown,light,brown,19BBY,female,https://swapi.dev/api/planets/2/
Owen Lars,178,120,brown, grey,light,blue,52BBY,male,https://swapi.dev/api/planets/1/
Beru Whitesun lars,165,75,brown,light,blue,47BBY,female,https://swapi.dev/api/planets/1/
R5-D4,97,32,n/a,white, red,red,unknown,n/a,https://swapi.dev/api/planets/1/
Biggs Darklighter,183,84,black,light,brown,24BBY,male,https://swapi.dev/api/planets/1/
Obi-Wan Kenobi,182,77,auburn, white,fair,blue-gray,57BBY,male,https://swapi.dev/api/planets/20/
